MassIVE,Filename,node_id,file_usi
MSV000084900,15NAVY01_V1_ALL_GB2_01_39810.mzXML,complex,mzspec:MSV000084900:15NAVY01_V1_ALL_GB2_01_39810
MSV000084900,15NAVY01_V1_breakfast_GA7_01_39806.mzXML,complex,mzspec:MSV000084900:15NAVY01_V1_breakfast_GA7_01_39806
MSV000084900,15NAVY01_v1_brk_1_GA4_01_39548.mzXML,peanut,mzspec:MSV000084900:15NAVY01_v1_brk_1_GA4_01_39548
MSV000084900,15NAVY01_v1_brk_2_GB4_01_39546.mzXML,grain/grass,mzspec:MSV000084900:15NAVY01_v1_brk_2_GB4_01_39546
MSV000084900,15NAVY01_v1_brk_3_GC4_01_39547.mzXML,grain/grass,mzspec:MSV000084900:15NAVY01_v1_brk_3_GC4_01_39547
MSV000084900,15NAVY01_v1_lun_1_GA5_01_39630.mzXML,complex,mzspec:MSV000084900:15NAVY01_v1_lun_1_GA5_01_39630
MSV000084900,15NAVY01_v1_lun_2_GB5_01_39627.mzXML,fruit,mzspec:MSV000084900:15NAVY01_v1_lun_2_GB5_01_39627
MSV000084900,15NAVY01_v1_lun_3_GC5_01_39628.mzXML,fruit,mzspec:MSV000084900:15NAVY01_v1_lun_3_GC5_01_39628
MSV000084900,15NAVY01_v1_lun_4_GD5_01_39629.mzXML,complex,mzspec:MSV000084900:15NAVY01_v1_lun_4_GD5_01_39629
MSV000084900,15NAVY01_V1_lunch_GB1_01_39808.mzXML,complex,mzspec:MSV000084900:15NAVY01_V1_lunch_GB1_01_39808
MSV000084900,15NAVY01_V1_snack_GA6_01_39807.mzXML,complex,mzspec:MSV000084900:15NAVY01_V1_snack_GA6_01_39807
MSV000084900,15NAVY01_v1_snk_1_GG3_01_39516.mzXML,potato,mzspec:MSV000084900:15NAVY01_v1_snk_1_GG3_01_39516
MSV000084900,15NAVY01_v1_snk_2_GH3_01_39517.mzXML,complex,mzspec:MSV000084900:15NAVY01_v1_snk_2_GH3_01_39517
MSV000084900,15NAVY01_v1_sup_1_GD4_01_39583.mzXML,green bean,mzspec:MSV000084900:15NAVY01_v1_sup_1_GD4_01_39583
MSV000084900,15NAVY01_v1_sup_2_GE4_01_39586.mzXML,butter,mzspec:MSV000084900:15NAVY01_v1_sup_2_GE4_01_39586
MSV000084900,15NAVY01_v1_sup_3_rerun_GF4_01_39663.mzXML,grain/grass,mzspec:MSV000084900:15NAVY01_v1_sup_3_rerun_GF4_01_39663
MSV000084900,15NAVY01_v1_sup_4_GG4_01_39587.mzXML,chicken,mzspec:MSV000084900:15NAVY01_v1_sup_4_GG4_01_39587
MSV000084900,15NAVY01_v1_sup_5_GH4_01_39585.mzXML,complex,mzspec:MSV000084900:15NAVY01_v1_sup_5_GH4_01_39585
MSV000084900,15NAVY01_V1_supper_GA8_01_39809.mzXML,complex,mzspec:MSV000084900:15NAVY01_V1_supper_GA8_01_39809
MSV000084900,16NAVY05_V1_ALL_GA5_01_39802.mzXML,complex,mzspec:MSV000084900:16NAVY05_V1_ALL_GA5_01_39802
MSV000084900,16NAVY05_V1_breakfast_GA2_01_39797.mzXML,complex,mzspec:MSV000084900:16NAVY05_V1_breakfast_GA2_01_39797
MSV000084900,16NAVY05_v1_brk_1_GC2_01_39541.mzXML,complex,mzspec:MSV000084900:16NAVY05_v1_brk_1_GC2_01_39541
MSV000084900,16NAVY05_v1_brk_2_GD2_01_39542.mzXML,complex,mzspec:MSV000084900:16NAVY05_v1_brk_2_GD2_01_39542
MSV000084900,16NAVY05_v1_brk_3_GE2_01_39543.mzXML,complex,mzspec:MSV000084900:16NAVY05_v1_brk_3_GE2_01_39543
MSV000084900,16NAVY05_v1_lun_1_rerun_GD3_01_39624.mzXML,lettuce,mzspec:MSV000084900:16NAVY05_v1_lun_1_rerun_GD3_01_39624
MSV000084900,16NAVY05_v1_lun_2_rerun_GE3_01_39625.mzXML,apple,mzspec:MSV000084900:16NAVY05_v1_lun_2_rerun_GE3_01_39625
MSV000084900,16NAVY05_v1_lun_3_GF3_01_39621.mzXML,complex,mzspec:MSV000084900:16NAVY05_v1_lun_3_GF3_01_39621
MSV000084900,16NAVY05_V1_lunch_GA4_01_39799.mzXML,complex,mzspec:MSV000084900:16NAVY05_V1_lunch_GA4_01_39799
MSV000084900,16NAVY05_V1_snack_GA1_01_39798.mzXML,complex,mzspec:MSV000084900:16NAVY05_V1_snack_GA1_01_39798
MSV000084900,16NAVY05_v1_snk_1_GA2_01_39513.mzXML,complex,mzspec:MSV000084900:16NAVY05_v1_snk_1_GA2_01_39513
MSV000084900,16NAVY05_v1_snk_2_GB2_01_39514.mzXML,complex,mzspec:MSV000084900:16NAVY05_v1_snk_2_GB2_01_39514
MSV000084900,16NAVY05_v1_sup_1_GF2_01_39577.mzXML,plant,mzspec:MSV000084900:16NAVY05_v1_sup_1_GF2_01_39577
MSV000084900,16NAVY05_v1_sup_2_GG2_01_39578.mzXML,complex,mzspec:MSV000084900:16NAVY05_v1_sup_2_GG2_01_39578
MSV000084900,16NAVY05_v1_sup_3_rerun_GH2_01_39666.mzXML,plant,mzspec:MSV000084900:16NAVY05_v1_sup_3_rerun_GH2_01_39666
MSV000084900,16NAVY05_v1_sup_4_GA3_01_39574.mzXML,plant,mzspec:MSV000084900:16NAVY05_v1_sup_4_GA3_01_39574
MSV000084900,16NAVY05_v1_sup_5_rerun_GB3_01_39667.mzXML,plant,mzspec:MSV000084900:16NAVY05_v1_sup_5_rerun_GB3_01_39667
MSV000084900,16NAVY05_v1_sup_6_rerun_GC3_01_39668.mzXML,rice,mzspec:MSV000084900:16NAVY05_v1_sup_6_rerun_GC3_01_39668
MSV000084900,16NAVY05_V1_supper_GA3_01_39800.mzXML,complex,mzspec:MSV000084900:16NAVY05_V1_supper_GA3_01_39800
MSV000084900,16NAVY10_V2_ALL_GD1_01_39833.mzXML,complex,mzspec:MSV000084900:16NAVY10_V2_ALL_GD1_01_39833
MSV000084900,16NAVY10_V2_breakfast_GC6_01_39828.mzXML,complex,mzspec:MSV000084900:16NAVY10_V2_breakfast_GC6_01_39828
MSV000084900,16NAVY10_v2_brk_1_GE9_01_39561.mzXML,peanut,mzspec:MSV000084900:16NAVY10_v2_brk_1_GE9_01_39561
MSV000084900,16NAVY10_v2_brk_2_GF9_01_39559.mzXML,strawberry,mzspec:MSV000084900:16NAVY10_v2_brk_2_GF9_01_39559
MSV000084900,16NAVY10_v2_brk_3_GG9_01_39560.mzXML,complex,mzspec:MSV000084900:16NAVY10_v2_brk_3_GG9_01_39560
MSV000084900,16NAVY10_v2_lun_1_GD10_01_39653.mzXML,complex,mzspec:MSV000084900:16NAVY10_v2_lun_1_GD10_01_39653
MSV000084900,16NAVY10_v2_lun_2_GE10_01_39654.mzXML,lettuce,mzspec:MSV000084900:16NAVY10_v2_lun_2_GE10_01_39654
MSV000084900,16NAVY10_v2_lun_3_GF10_01_39657.mzXML,complex,mzspec:MSV000084900:16NAVY10_v2_lun_3_GF10_01_39657
MSV000084900,16NAVY10_v2_lun_4_GG10_01_39652.mzXML,fruit,mzspec:MSV000084900:16NAVY10_v2_lun_4_GG10_01_39652
MSV000084900,16NAVY10_v2_lun_5_GH10_01_39655.mzXML,american cheese,mzspec:MSV000084900:16NAVY10_v2_lun_5_GH10_01_39655
MSV000084900,16NAVY10_v2_lun_6_GA11_01_39656.mzXML,complex,mzspec:MSV000084900:16NAVY10_v2_lun_6_GA11_01_39656
MSV000084900,16NAVY10_V2_lunch_GC8_01_39830.mzXML,complex,mzspec:MSV000084900:16NAVY10_V2_lunch_GC8_01_39830
MSV000084900,16NAVY10_V2_snack_GC5_01_39829.mzXML,complex,mzspec:MSV000084900:16NAVY10_V2_snack_GC5_01_39829
MSV000084900,16NAVY10_v2_snk_1_rerun_GC9_01_39537.mzXML,grape,mzspec:MSV000084900:16NAVY10_v2_snk_1_rerun_GC9_01_39537
MSV000084900,16NAVY10_v2_snk_2_rerun_GD9_01_39538.mzXML,complex,mzspec:MSV000084900:16NAVY10_v2_snk_2_rerun_GD9_01_39538
