file_usi,MassIVE,Filename,Category,node_id
mzspec:MSV000095251:P1_A10_519,MSV000095251,P1_A10_519.mzML,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser,Facial Cleanser
mzspec:MSV000095251:P1_A11_529,MSV000095251,P1_A11_529.mzML,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser,Facial Cleanser
mzspec:MSV000095251:P1_A12_551,MSV000095251,P1_A12_551.mzML,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser,Facial Cleanser
mzspec:MSV000095251:P1_A1_510,MSV000095251,P1_A1_510.mzML,Root > Personal Care > Hair Care > Shampoo & Conditioner > Shampoo,Shampoo
mzspec:MSV000095251:P1_A2_511,MSV000095251,P1_A2_511.mzML,Root > Personal Care > Cosmetics > Bath & Body > Body Wash > Hand Soap,Hand Soap
mzspec:MSV000095251:P1_A3_512,MSV000095251,P1_A3_512.mzML,Root > Personal Care > Cosmetics > Bath & Body > Body Wash,Body Wash
mzspec:MSV000095251:P1_A4_513,MSV000095251,P1_A4_513.mzML,Root > Personal Care > Hair Care > Hair Styling Products > Hairspray,Hairspray
mzspec:MSV000095251:P1_A5_514,MSV000095251,P1_A5_514.mzML,Root > Personal Care > Hair Care > Shampoo & Conditioner > Conditioner,Conditioner
mzspec:MSV000095251:P1_A6_515,MSV000095251,P1_A6_515.mzML,Root > Personal Care > Cosmetics > Skin Care > Exfoliant,Exfoliant
mzspec:MSV000095251:P1_A7_516,MSV000095251,P1_A7_516.mzML,Root > Personal Care > Hair Care > Shampoo & Conditioner > Conditioner,Conditioner
mzspec:MSV000095251:P1_A8_517,MSV000095251,P1_A8_517.mzML,Root > Personal Care > Cosmetics > Skin Care > Exfoliant,Exfoliant
mzspec:MSV000095251:P1_A9_518,MSV000095251,P1_A9_518.mzML,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser,Facial Cleanser
mzspec:MSV000095251:P1_B10_blank2,MSV000095251,P1_B10_blank2.mzML,Root > Blank > Solvent Blank,Solvent Blank
mzspec:MSV000095251:P1_B11_blank3,MSV000095251,P1_B11_blank3.mzML,Root > Blank > Solvent Blank,Solvent Blank
mzspec:MSV000095251:P1_B1_520,MSV000095251,P1_B1_520.mzML,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer,Moisturizer
mzspec:MSV000095251:P1_B2_521,MSV000095251,P1_B2_521.mzML,Root > Personal Care > Hair Care,Hair Care
mzspec:MSV000095251:P1_B3_522,MSV000095251,P1_B3_522.mzML,Root > Personal Care > Hair Care > Hair Styling Products,Hair Styling Products
mzspec:MSV000095251:P1_B4_523,MSV000095251,P1_B4_523.mzML,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer > Eye cream,Eye cream
