dataset_description	dataset_filename	dataset_id	dataset_organisms	dataset_scan	dataset_title	files_count	matchedpeaks	mzerror	score	specs_filename	specs_scan
Metabolite analysis of food and beverage samples, standard global foodomics ethanol extraction. Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS. 	continuous/clustered_data/MSV000083010_specs_ms.mgf	MSV000083010	food metagenome (NCBITaxon:870726)	52659	GNPS - GFOP - Food - Beverage - Data set 1	225	15	0.0005696612665246903	0.8269341501452918	specs_ms.mgf	1
Metabolite analysis of 2273 food and beverage samples, standard ethanol extraction. Data were acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS. 	continuous/clustered_data/MSV000082074_specs_ms.mgf	MSV000082074	food metagenome (NCBITaxon:870726)	53308	GNPS - GFOP - Food - Plate1-26;28	226	15	0.0005696612665246903	0.8269312199688976	specs_ms.mgf	1
LC-MS/MS data were collected from 202 strains of human-associated bacteria cultured anaerobically in two different media types containing bile acids.  	continuous/clustered_data/MSV000084475_specs_ms.mgf	MSV000084475	multiple bacteria species	825165	GNPS-Human-associated bacteria cultured with bile acids	1276	16	0.0005696612665246903	0.8268611303624711	specs_ms.mgf	1
Metabolic analysis of cheetah fecal samples and environmental samples, standard methanol extraction. Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS.Data have an identified retention time shift as compared to MassIVE MSV000082969.	continuous/clustered_data/MSV000083689_specs_ms.mgf	MSV000083689	Acinonyx jubatus (NCBITaxon:32536)	44355	GNPS - SEED - Cheetah diet / liver necrosis study -- data with LC RT shift	1096	15	0.0005696612665246903	0.8268248897678381	specs_ms.mgf	1
Metabolic analysis of cheetah fecal samples and environmental samples, standard methanol extraction. Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS. 	continuous/clustered_data/MSV000082969_specs_ms.mgf	MSV000082969	Acinonyx jubatus (NCBITaxon:32536)	24962	GNPS - SEED - Cheetah diet / liver necrosis study	539	15	0.0005696612665246903	0.8266843080639346	specs_ms.mgf	1
Metabolite analysis of 3500 food and beverage samples, ethanol extraction. Data were acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS.	continuous/clustered_data/MSV000084900_specs_ms.mgf	MSV000084900	food metagenome (NCBITaxon:870726)	131234	GNPS Global Foodomics dataset 3500	363	15	0.0074303387335135085	0.8257169119355513	specs_ms.mgf	1
Metabolic analysis of grain-based food samples, standard ethanol extraction. Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS. 	continuous/clustered_data/MSV000081748_specs_ms.mgf	MSV000081748	food metagenome (NCBITaxon:870726)	1498	GNPS - GFOP - Food - Plate15_grain	18	15	0.006579661266471248	0.8254907294391763	specs_ms.mgf	1
Metabolic analysis of cheetah fecal samples and blanks, standard methanol extraction. Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS	continuous/clustered_data/MSV000084099_specs_ms.mgf	MSV000084099	Acinonyx jubatus (NCBITaxon:32536)	23612	GNPS - SEED - Cheetah diet / livers necrosis study - Ion Identity Networking	532	15	0.0005696612665246903	0.8253910867655903	specs_ms.mgf	1
Mouse gut samples, a timeline of fecal samples and cecum samples. Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS. 	continuous/clustered_data/MSV000083995_specs_ms.mgf	MSV000083995	Mus musculus (NCBITaxon:10090)	2445	GNPS - Caltech - Bryan Yoo Metabolomics Mouse Gut Samples	255	16	0.0005696612665246903	0.8246198645369083	specs_ms.mgf	1
Data was acquired using a Thermo Q-Exative and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS. 	continuous/clustered_data/MSV000081080_specs_ms.mgf	MSV000081080	Rattus norvegicus (NCBITaxon:10116)	515272	GNPS - SEED - Bode	448	16	0.0015696612665010434	0.8243916706816385	specs_ms.mgf	1
Metabolic analysis of meat samples, standard ethanol extraction. Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS.	continuous/clustered_data/MSV000081673_specs_ms.mgf	MSV000081673	food metagenome (NCBITaxon:870726)	2074	GNPS - GFOP - Food - Plate5_meat	20	15	0.000410338733502158	0.8240189914177654	specs_ms.mgf	1
Metabolic analysis of how APE1 protects the digestive tract from DNA damage initiated by bacterial infection, using mouse fecal samples and a standard methanol extraction. Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS. 	continuous/clustered_data/MSV000083302_specs_ms.mgf	MSV000083302	Mus musculus (NCBITaxon:10090)	43404	GNPS - SEED Covian Mouse Fecal	163	16	0.0025796612665089924	0.8235570543731061	specs_ms.mgf	1
Data from untargeted LC-MS/MS of 60 samples taken from the stomach, foregut, hindgut, and pyloric caeca of Kyphosus fish collected from Kona, HI. Samples were extracted in 50% MeOH/H2O and run on a polar C18 column.	continuous/clustered_data/MSV000086348_specs_ms.mgf	MSV000086348	Kyphosus (NCBITaxon:163142)	1788	GNPS_Fishgut Samples from Kona_June 2019	33	16	0.0015696612665010434	0.8223766563337173	specs_ms.mgf	1
Metabolite analysis of food samples, standard global foodomics ethanol extraction. Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS.	continuous/clustered_data/MSV000084101_specs_ms.mgf	MSV000084101	food metagenome (NCBITaxon:870726)	7944	GNPS - GFOP - Food subset - Ion Identity Networking	31	15	0.0015696612665010434	0.8215821293377881	specs_ms.mgf	1
Metabolite analysis of beverage samples, standard global foodomics ethanol extraction. Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS.	continuous/clustered_data/MSV000083040_specs_ms.mgf	MSV000083040	food metagenome (NCBITaxon:870726)	5131	GNPS - GFOP beverage	16	15	0.0005696612665246903	0.8212559460161287	specs_ms.mgf	1
