Compound	USI
Rutin	mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00003139483
Isoschaftoside	mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005778294
Orientin	mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004696818
Dicaffeoylquinicacid	mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005724378
Digalloylquinicacid	mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004692123
Tetrahydropapaveroline	mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00000222377
Aurantiamideacetate	mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005727351
MakisteroneA	mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004717894
6-Hydroxyloganin	mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00000853770
Karakin	mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010007469
ProcyanidinB2	mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00000081689
Bufotenine	mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004678666
secoisolariciresinol	mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005741229
epiyangambin	mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004719556
12b-O-[deca-2Z,4E-dienoyl]-13_-isobutyroyloxy-4b-deoxyphorbol	mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00000840337
