Taxa_NCBI,domain,kingdom,phylum,class,order,family,genus,subgenus,species,subspecies,strain,varietas
2841257,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halapricum,NA,Halapricum desulfuricans,NA,NA,NA
1679096,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halococcoides,NA,Halococcoides cellulosivorans,NA,NA,NA
2055893,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halalkaliarchaeum,NA,Halalkaliarchaeum desulfuricum,NA,NA,NA
2917812,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Natronocalculus,NA,Natronocalculus amylovorans,NA,NA,NA
2044521,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrarchaeobaculum,NA,Natrarchaeobaculum sulfurireducens,NA,NA,NA
1679083,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrarchaeobius,NA,Natrarchaeobius chitinivorans,NA,NA,NA
1679091,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrarchaeobius,NA,Natrarchaeobius halalkaliphilus,NA,NA,NA
1679076,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natronobiforma,NA,Natronobiforma cellulositropha,NA,NA,NA
253108,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natronolimnobius,NA,Natronolimnobius baerhuensis,NA,NA,NA
253107,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natronolimnohabitans,NA,Natronolimnohabitans innermongolicus,NA,NA,NA
2917711,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Natronoarchaeaceae,Natranaeroarchaeum,NA,Natranaeroarchaeum aerophilus,NA,NA,NA
2160,Archaea,Methanobacteriati,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,NA,NA,NA,NA
686662,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,NA,Actinomyces gerencseriae,NA,Actinomyces gerencseriae F0344,NA
435830,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,NA,Actinomyces graevenitzii,NA,Actinomyces graevenitzii C83,NA
1227262,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,NA,Actinomyces johnsonii,NA,Actinomyces johnsonii F0510,NA
1125718,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,NA,Actinomyces massiliensis,NA,Actinomyces massiliensis F0489,NA
1655,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,NA,Actinomyces naeslundii,NA,NA,NA
29317,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,NA,Actinomyces sp.,NA,NA,NA
562973,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,NA,Actinomyces viscosus,NA,Actinomyces viscosus C505,NA
2052,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Mobiluncus,NA,Mobiluncus mulieris,NA,NA,NA
888050,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Schaalia,NA,Schaalia cardiffensis,NA,Schaalia cardiffensis F0333,NA
649742,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Schaalia,NA,Schaalia odontolytica,NA,Schaalia odontolytica F0309,NA
367928,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA,Bifidobacterium adolescentis,NA,Bifidobacterium adolescentis ATCC 15703,NA
411481,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA,Bifidobacterium adolescentis,NA,Bifidobacterium adolescentis L2-32,NA
1680,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA,Bifidobacterium adolescentis,NA,NA,NA
1357382,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA,Bifidobacterium angulatum,NA,Bifidobacterium angulatum F16_22,NA
703613,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA,Bifidobacterium animalis,Bifidobacterium animalis subsp. animalis,Bifidobacterium animalis subsp. animalis ATCC 25527,NA
555970,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA,Bifidobacterium animalis,Bifidobacterium animalis subsp. lactis,Bifidobacterium animalis subsp. lactis DSM 10140,NA
500634,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA,Bifidobacterium bifidum,NA,Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456,NA
518634,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA,Bifidobacterium breve,NA,Bifidobacterium breve DSM 20213 = JCM 1192,NA
858694,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA,Bifidobacterium breve,NA,Bifidobacterium breve EX336960VC18,NA
858695,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA,Bifidobacterium breve,NA,Bifidobacterium breve EX336960VC19,NA
1203540,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA,Bifidobacterium breve,NA,Bifidobacterium breve HPH0326,NA
1261072,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA,Bifidobacterium breve,NA,Bifidobacterium breve JCP7499,NA
1685,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA,Bifidobacterium breve,NA,NA,NA
