Taxa_NCBI,domain,kingdom,phylum,class,order,family,genus,subgenus,species,subspecies,varietas,forma
95766,Eukaryota,Viridiplantae,Streptophyta,Bryopsida,Bryales,Mniaceae,Plagiomnium,NA,Plagiomnium undulatum,NA,NA,NA
52983,Eukaryota,Viridiplantae,Streptophyta,Bryopsida,Dicranales,Fissidentaceae,Fissidens,NA,Fissidens taxifolius,NA,NA,NA
115594,Eukaryota,Viridiplantae,Streptophyta,Bryopsida,Grimmiales,Grimmiaceae,Grimmia,NA,Grimmia pulvinata,NA,NA,NA
53005,Eukaryota,Viridiplantae,Streptophyta,Bryopsida,Hypnales,Brachytheciaceae,Brachythecium,NA,Brachythecium rutabulum,NA,NA,NA
53008,Eukaryota,Viridiplantae,Streptophyta,Bryopsida,Hypnales,Hylocomiaceae,Rhytidiadelphus,NA,Rhytidiadelphus squarrosus,NA,NA,NA
53011,Eukaryota,Viridiplantae,Streptophyta,Bryopsida,Hypnales,Hypnaceae,Hypnum,NA,Hypnum cupressiforme,NA,NA,NA
90309,Eukaryota,Viridiplantae,Streptophyta,Bryopsida,Hypnales,Myuriaceae,Ctenidium,NA,Ctenidium molluscum,NA,NA,NA
52999,Eukaryota,Viridiplantae,Streptophyta,Bryopsida,Hypnales,Pylaisiaceae,Calliergonella,NA,Calliergonella cuspidata,NA,NA,NA
3397,Eukaryota,Viridiplantae,Streptophyta,Cycadopsida,Cycadales,Cycadaceae,Cycas,NA,Cycas circinalis,NA,NA,NA
171014,Eukaryota,Viridiplantae,Streptophyta,Cycadopsida,Cycadales,Cycadaceae,Cycas,NA,Cycas siamensis,NA,NA,NA
3395,Eukaryota,Viridiplantae,Streptophyta,Cycadopsida,Cycadales,Cycadaceae,Cycas,NA,NA,NA,NA,NA
41994,Eukaryota,Viridiplantae,Streptophyta,Cycadopsida,Cycadales,Zamiaceae,Ceratozamia,NA,Ceratozamia mexicana,NA,NA,NA
41993,Eukaryota,Viridiplantae,Streptophyta,Cycadopsida,Cycadales,Zamiaceae,Ceratozamia,NA,NA,NA,NA,NA
58033,Eukaryota,Viridiplantae,Streptophyta,Cycadopsida,Cycadales,Zamiaceae,Dioon,NA,Dioon edule,NA,NA,NA
58032,Eukaryota,Viridiplantae,Streptophyta,Cycadopsida,Cycadales,Zamiaceae,Dioon,NA,NA,NA,NA,NA
3300,Eukaryota,Viridiplantae,Streptophyta,Cycadopsida,Cycadales,Zamiaceae,Encephalartos,NA,Encephalartos altensteinii,NA,NA,NA
3304,Eukaryota,Viridiplantae,Streptophyta,Cycadopsida,Cycadales,Zamiaceae,Zamia,NA,Zamia pumila,NA,NA,NA
3311,Eukaryota,Viridiplantae,Streptophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,NA,Ginkgo biloba,NA,NA,NA
288835,Eukaryota,Viridiplantae,Streptophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,NA,Ephedra distachya,Ephedra distachya subsp. helvetica,NA,NA
3389,Eukaryota,Viridiplantae,Streptophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,NA,Ephedra distachya,NA,NA,NA
173280,Eukaryota,Viridiplantae,Streptophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,NA,Ephedra equisetina,NA,NA,NA
33152,Eukaryota,Viridiplantae,Streptophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,NA,Ephedra sinica,NA,NA,NA
66172,Eukaryota,Viridiplantae,Streptophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,NA,Ephedra viridis,NA,NA,NA
1651117,Eukaryota,Viridiplantae,Streptophyta,Gnetopsida,Gnetales,Gnetaceae,Gnetum,NA,Gnetum edule,NA,NA,NA
3377,Eukaryota,Viridiplantae,Streptophyta,Gnetopsida,Welwitschiales,Welwitschiaceae,Welwitschia,NA,Welwitschia mirabilis,NA,NA,NA
3202,Eukaryota,Viridiplantae,Streptophyta,Jungermanniopsida,Jungermanniales,Jungermanniaceae,Jungermannia,NA,NA,NA,NA,NA
139838,Eukaryota,Viridiplantae,Streptophyta,Jungermanniopsida,Radulales,Radulaceae,Radula,Radula subgen. Radula,Radula complanata,NA,NA,NA
50271,Eukaryota,Viridiplantae,Streptophyta,Lycopodiopsida,Isoetales,Isoetaceae,Isoetes,NA,Isoetes lacustris,NA,NA,NA
355589,Eukaryota,Viridiplantae,Streptophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Huperzia,NA,Huperzia serrata,NA,NA,NA
3252,Eukaryota,Viridiplantae,Streptophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Lycopodium,NA,Lycopodium clavatum,NA,NA,NA
417315,Eukaryota,Viridiplantae,Streptophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,NA,Selaginella davidii,NA,NA,NA
1353961,Eukaryota,Viridiplantae,Streptophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,NA,Selaginella delicatula,NA,NA,NA
81964,Eukaryota,Viridiplantae,Streptophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,NA,Selaginella kraussiana,NA,NA,NA
59777,Eukaryota,Viridiplantae,Streptophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,NA,Selaginella lepidophylla,NA,NA,NA
88036,Eukaryota,Viridiplantae,Streptophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,NA,Selaginella moellendorffii,NA,NA,NA
137178,Eukaryota,Viridiplantae,Streptophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,NA,Selaginella tamariscina,NA,NA,NA
307165,Eukaryota,Viridiplantae,Streptophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,NA,Selaginella uncinata,NA,NA,NA
4465,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Acorales,Acoraceae,Acorus,NA,Acorus calamus,NA,NA,NA
55184,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Acorales,Acoraceae,Acorus,NA,Acorus gramineus,NA,NA,NA
262913,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Alismataceae,Alisma,NA,Alisma plantago-aquatica,Alisma plantago-aquatica subsp. orientale,NA,NA
15000,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Alismataceae,Alisma,NA,Alisma plantago-aquatica,NA,NA,NA
3237189,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Alismataceae,Aquarius,NA,Aquarius macrophyllus,NA,NA,NA
1210880,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Aglaonema,NA,Aglaonema commutatum,NA,NA,NA
174181,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Aglaonema,NA,NA,NA,NA,NA
4456,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Alocasia,NA,Alocasia macrorrhizos,NA,NA,NA
501576,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Amorphophallus,NA,Amorphophallus bulbifer,NA,NA,NA
78372,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Amorphophallus,NA,Amorphophallus konjac,NA,NA,NA
174187,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Amorphophallus,NA,Amorphophallus paeoniifolius,NA,NA,NA
226677,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Anthurium,NA,Anthurium andraeanum,NA,NA,NA
78377,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Anthurium,NA,NA,NA,NA,NA
262276,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Arisaema,NA,Arisaema amurense,NA,Arisaema amurense var. serratum,NA
227494,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Arisaema,NA,Arisaema amurense,NA,NA,NA
228813,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Arisaema,NA,Arisaema franchetianum,NA,NA,NA
227498,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Arisaema,NA,Arisaema heterophyllum,NA,NA,NA
78371,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Arisaema,NA,Arisaema triphyllum,NA,NA,NA
1419728,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Colocasia,NA,Colocasia esculenta,NA,Colocasia esculenta var. antiquorum,NA
4460,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Colocasia,NA,Colocasia esculenta,NA,NA,NA
42196,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Dieffenbachia,NA,Dieffenbachia seguine,NA,NA,NA
174209,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Dracontium,NA,Dracontium polyphyllum,NA,NA,NA
78380,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Epipremnum,NA,Epipremnum aureum,NA,NA,NA
