name,rank,id
cellular organisms,no rank,131567
Bacteria,superkingdom,2
Actinomycetota,phylum,201174
Actinomycetes,class,1760
Micromonosporales,order,85008
Micromonosporaceae,family,28056
Salinispora,genus,168694
Salinispora arenicola,species,168697
Salinispora arenicola CNT800,strain,1137253
Salinispora arenicola CNB527,strain,1137250
Salinispora tropica,species,168695
Salinispora tropica CNH898,strain,1137248
Salinispora fenicalii,species,1137263
Salinispora arenicola CNH964,strain,1136430
Salinispora pacifica,species,351187
Salinispora pacifica CNT003,strain,1136417
Salinispora arenicola CNT857,strain,1137254
Salinispora pacifica CNT855,strain,1137266
Salinispora pacifica CNS103,strain,1137262
Salinispora arenicola CNT850,strain,1136428
Salinispora arenicola CNX482,strain,1136426
Salinispora tropica CNS197,strain,1137249
Salinispora pacifica CNT854,strain,1137265
Salinispora oceanensis,species,1050199
Salinispora pacifica CNR114,strain,1137260
Salinispora arenicola CNQ748,strain,1144929
Salinispora arenicola CNH646,strain,1136427
Salinispora pacifica CNT796,strain,1206102
Salinispora arenicola CNH905,strain,1137251
Salinispora pacifica CNT001,strain,1136416
Salinispora pacifica CNT603,strain,1136424
Salinispora arenicola CNT798,strain,1137256
Salinispora arenicola CNX891,strain,1137258
Salinispora arenicola CNX508,strain,1137257
Salinispora arenicola CNH941,strain,1137252
Salinispora pacifica CNR894,strain,1137261
Salinispora pacifica CNT131,strain,1136420
Salinispora pacifica CNT084,strain,1136419
Salinispora arenicola CNR921,strain,1136429
Salinispora arenicola DSM 45545,strain,999546
Salinispora pacifica DSM 45546 = CNT-133,strain,1050198
Salinispora pacifica DSM 45544,strain,999543
Salinispora vitiensis,species,999544
Salinispora mooreana,species,999545
Salinispora arenicola CNT005,strain,1137255
Salinispora arenicola CNX814,strain,1169171
Salinispora arenicola CNY011,strain,1169162
Salinispora arenicola CNY280,strain,1169173
Salinispora pacifica CNQ768,strain,1169193
Salinispora pacifica CNS996,strain,1169189
Salinispora pacifica CNT045,strain,1169190
Salinispora pacifica CNT124,strain,1169188
Salinispora pacifica CNT584,strain,1169191
Salinispora pacifica CNT609,strain,1169184
Salinispora pacifica CNT851,strain,1169180
Salinispora arenicola CNY237,strain,1169185
Salinispora tropica CNS416,strain,1169195
Salinispora pacifica DSM 45543 = CNS-863,strain,999542
Salinispora arenicola CNB458,strain,1136425
Salinispora tropica CNB476,strain,1137247
Salinispora tropica CNB536,strain,1136431
Salinispora arenicola CNT859,strain,1169163
Salinispora arenicola CNT849,strain,1137264
Salinispora arenicola CNP105,strain,1169174
Salinispora arenicola CNP193,strain,1169170
Salinispora arenicola CNS051,strain,1169178
Salinispora arenicola CNS744,strain,1169168
Salinispora arenicola CNX481,strain,1169169
Salinispora arenicola CNY231,strain,1169179
Salinispora arenicola CNY256,strain,1169166
Salinispora arenicola CNY260,strain,1169177
Salinispora pacifica CNS055,strain,1169182
Salinispora pacifica CNS860,strain,1169186
Salinispora tropica CNR699,strain,1169198
Salinispora pacifica CNY330,strain,1169192
Salinispora pacifica CNY331,strain,1169181
Salinispora arenicola CNS673,strain,1144930
Salinispora arenicola CNH877,strain,1169176
Salinispora arenicola CNH962,strain,1169175
Salinispora arenicola CNR107,strain,1169167
Salinispora arenicola CNY234,strain,1169165
Salinispora arenicola CNY282,strain,1169164
Salinispora arenicola CNH963,strain,1288085
Salinispora arenicola CNS243,strain,1288087
Salinispora arenicola CNS299,strain,1288086
Salinispora tropica CNT261,strain,1288084
Salinispora pacifica CNY239,strain,1288090
Salinispora arenicola CNT799,strain,1169172
Salinispora arenicola CNR425,strain,1298919
Salinispora cortesiana,species,1305843
Salinispora tropica CNY012,strain,1169197
Salinispora tropica CNT250,strain,1169196
Salinispora arenicola CNT-088,strain,1149863
Salinispora pacifica CNS-143,strain,1150612
Salinispora pacifica CNT403,strain,1408353
Salinispora arenicola ATCC BAA-917,strain,391967
Salinispora pacifica CNR909,strain,1408349
Salinispora arenicola CNQ884,strain,1408331
Salinispora arenicola CNY281,strain,1408339
Salinispora arenicola CNH718,strain,1408328
Salinispora arenicola CNY486,strain,1408340
