ID,Parent_ID,SampleType,NCBITaxonomy,Type,NCBIRank,Group_Size,Interventions,Community_composition
46,28090,G000219275 | Acinetobacter lwoffii AO35,strain,NA,NA,NA,NA,NA
47,28125,G000262545 | Prevotella bivia A02,strain,NA,NA,NA,NA,NA
48,820,G000154205 | Bacteroides_uniformis_AO9,strain,NA,NA,NA,NA,NA
49,28126,G000184945 | Segatella buccae A021,strain,NA,NA,NA,NA,NA
50,28130,G000613345 | Prevotella disiens A022,strain,NA,NA,NA,NA,NA
51,1498,G900142225 | Hathewaya histolytica AO25,strain,NA,NA,NA,NA,NA
52,1260,G000010185 | Finegoldia magna AO29,strain,NA,NA,NA,NA,NA
53,1547,Thomasclavelia ramosa AO31,strain,NA,NA,NA,NA,NA
55,1351,G000007785 | Enterococcus faecalis SF19,strain,NA,NA,NA,NA,NA
56,1505,G001950115 | Paraclostridium sordellii A032,strain,NA,NA,NA,NA,NA
57,1297617,G001454945 | Intestinimonas butyriciproducens DSM 26588,strain,NA,NA,NA,NA,NA
270,1522,G000371425 | Clostridium innocuum CD-CrF-A,strain,NA,NA,NA,NA,NA
271,1522,G000371425 | Clostridium innocuum CD-CrF-B,strain,NA,NA,NA,NA,NA
274,1522,G000371425 | Clostridium innocuum CD-CrF-E,strain,NA,NA,NA,NA,NA
275,1522,G000371425 | Clostridium innocuum CD-CrF-F,strain,NA,NA,NA,NA,NA
276,1522,G000371425 | Clostridium innocuum CD-CrF-G,strain,NA,NA,NA,NA,NA
277,1522,G000371425 | Clostridium innocuum CD-CrF-H,strain,NA,NA,NA,NA,NA
278,1522,G000371425 | Clostridium innocuum CD-CrF-K,strain,NA,NA,NA,NA,NA
279,1522,G000371425 | Clostridium innocuum CD-MAT-A,strain,NA,NA,NA,NA,NA
284,1522,G000371425 | Clostridium innocuum CD-Muc-A,strain,NA,NA,NA,NA,NA
288,1522,G000371425 | Clostridium innocuum CD-Muc-E,strain,NA,NA,NA,NA,NA
290,1522,G000371425 | Clostridium innocuum CD-Muc-G,strain,NA,NA,NA,NA,NA
292,1522,G000371425 | Clostridium innocuum UC-Muc-A,strain,NA,NA,NA,NA,NA
295,1522,G000371425 | Clostridium innocuum UC-Muc-D,strain,NA,NA,NA,NA,NA
793,1590,G000203855 | Lactiplantibacillus plantarum ATCC BAA 793,strain,NA,NA,NA,NA,NA
832,1579,G000011985 | Lactobacillus acidophilus ATCC 832,strain,NA,NA,NA,NA,NA
1286,1522,G000371425 | Clostridium innocuum DSM 1286,strain,NA,NA,NA,NA,NA
1295,823,G000012845 | Parabacteroides distasonis ATCC BAA-1295,strain,NA,NA,NA,NA,NA
2158,658082,G000209385 | Lachnospiraceae bacterium 2_1_58,strain,NA,NA,NA,NA,NA
4144,665944,G001187865 | Klebsiella sp 4_1_44,strain,NA,NA,NA,NA,NA
6475,1598,G000016825 | Limosilactobacillus reuteri ATCC 6475,strain,NA,NA,NA,NA,NA
8479,197,G000509875 | Campylobacter jejuni AS-84-79,strain,NA,NA,NA,NA,NA
14940,1512,G000189595 | Clostridium symbiosum ATCC 14940,strain,NA,NA,NA,NA,NA
15579,1509,G000007625 | Clostridium sporogenes ATCC 15579,strain,NA,NA,NA,NA,NA
19681,454155,G000205165 | Paraprevotella xylaniphila DSM 19681,strain,NA,NA,NA,NA,NA
19731,454154,G000436895 | Paraprevotella clara DSM 19731,strain,NA,NA,NA,NA,NA
25089,1265,G000174895 | Ruminococcus flavefaciens DSM 25089,strain,NA,NA,NA,NA,NA
26062,1150298,G001406335 | Fusicatenibacter saccharivorans DSM 26062,strain,NA,NA,NA,NA,NA
27768,853,G010509575 | Faecalibacterium Prausnitzii ATCC 27768,strain,NA,NA,NA,NA,NA
27836,1292,G000332735 | Staphylococcus warneri AW 25,strain,NA,NA,NA,NA,NA
27840,72758,G001028645 | Staphylococcus capitis subsp. capitis strain LK 499,strain,NA,NA,NA,NA,NA
27844,145391,G000183685 | Staphylococcus hominis subsp. hominis strain DM 122,strain,NA,NA,NA,NA,NA
29741,818,G000011065 | Bacteroides thetaiotaomicron ATCC 29741,strain,NA,NA,NA,NA,NA
43859,817,G000009925 | Bacteroides fragilis ATCC 43859,strain,NA,NA,NA,NA,NA
83333,562,G000008865 | Escherichia coli K12,strain,NA,NA,NA,NA,NA
93061,1280,G001233785 | Staphylococcus aureus subsp. aureus NCTC 8325,strain,NA,NA,NA,NA,NA
103499,144183,G001639025 | Corynebacterium afermentans subsp. afermentans CIP 103499,strain,NA,NA,NA,NA,NA
171202,1747,G000008345 | Cutibacterium acnes ATCC KPA171202,strain,NA,NA,NA,NA,NA
176280,1282,G000007645 | Staphylococcus epidermidis ATCC 12228,strain,NA,NA,NA,NA,NA
195103,1502,G000013285 | Clostridium perfringens ATCC 13124,strain,NA,NA,NA,NA,NA
226185,1351,G000007785 | Enterococcus faecalis V583,strain,NA,NA,NA,NA,NA
226186,818,G000011065 | Bacteroides thetaiotaomicron VPI-5482,strain,NA,NA,NA,NA,NA
