ID	Parent_ID	SampleType	NCBITaxonomy	Type	NCBIRank	Group_Size	Interventions	Community_composition
46	28090	G000219275 | Acinetobacter lwoffii AO35	strain			4	bile acids	
47	28125	G000262545 | Prevotella bivia A02	strain			4		
48	820	G000154205 | Bacteroides_uniformis_AO9	strain			4	bile acids	
49	28126	G000184945 | Segatella buccae A021	strain			4		
50	28130	G000613345 | Prevotella disiens A022	strain			4		
51	1498	G900142225 | Hathewaya histolytica AO25	strain			4	bile acids	
52	1260	G000010185 | Finegoldia magna AO29	strain			4		
53	1547	Thomasclavelia ramosa AO31	strain			4	bile acids	
55	1351	G000007785 | Enterococcus faecalis SF19	strain			4	bile acids	
56	1505	G001950115 | Paraclostridium sordellii A032	strain			4	no bile acids	
57	1297617	G001454945 | Intestinimonas butyriciproducens DSM 26588	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
270	1522	G000371425 | Clostridium innocuum CD-CrF-A	strain			0		
271	1522	G000371425 | Clostridium innocuum CD-CrF-B	strain			0		
274	1522	G000371425 | Clostridium innocuum CD-CrF-E	strain			0		
275	1522	G000371425 | Clostridium innocuum CD-CrF-F	strain			0		
276	1522	G000371425 | Clostridium innocuum CD-CrF-G	strain			0		
277	1522	G000371425 | Clostridium innocuum CD-CrF-H	strain			0		
278	1522	G000371425 | Clostridium innocuum CD-CrF-K	strain			0		
279	1522	G000371425 | Clostridium innocuum CD-MAT-A	strain			0		
284	1522	G000371425 | Clostridium innocuum CD-Muc-A	strain			0		
288	1522	G000371425 | Clostridium innocuum CD-Muc-E	strain			0		
290	1522	G000371425 | Clostridium innocuum CD-Muc-G	strain			0		
292	1522	G000371425 | Clostridium innocuum UC-Muc-A	strain			0		
295	1522	G000371425 | Clostridium innocuum UC-Muc-D	strain			0		
793	1590	G000203855 | Lactiplantibacillus plantarum ATCC BAA 793	strain			4		
832	1579	G000011985 | Lactobacillus acidophilus ATCC 832	strain			4		
1286	1522	G000371425 | Clostridium innocuum DSM 1286	strain			0		
1295	823	G000012845 | Parabacteroides distasonis ATCC BAA-1295	strain			399	4DDT, 4DDE, 4DDD, endosulfan, dichlorvos, mirex, chlopyriphos, malathion, malaoxon, methylparathion, monocrotophos, permethrin, cyhalothrin, cypermethrin, deltamethrin, atrazine, azoxystrobin, fipronil	
2158	658082	G000209385 | Lachnospiraceae bacterium 2_1_58	strain			4		
4144	665944	G001187865 | Klebsiella sp 4_1_44	strain			4	bile acids	
6475	1598	G000016825 | Limosilactobacillus reuteri ATCC 6475	strain			0		
8479	197	G000509875 | Campylobacter jejuni AS-84-79	strain			4	bile acids	
14940	1512	G000189595 | Clostridium symbiosum ATCC 14940	strain			397		
15579	1509	G000007625 | Clostridium sporogenes ATCC 15579	strain			420	bile acids	
19681	454155	G000205165 | Paraprevotella xylaniphila DSM 19681	strain			4		
19731	454154	G000436895 | Paraprevotella clara DSM 19731	strain			4		
25089	1265	G000174895 | Ruminococcus flavefaciens DSM 25089	strain			12	TCA, TLCA, TCDCA, TDCA	
26062	1150298	G001406335 | Fusicatenibacter saccharivorans DSM 26062	strain			4	bile acids	
27768	853	G010509575 | Faecalibacterium Prausnitzii ATCC 27768	strain			7	bile acids	
27836	1292	G000332735 | Staphylococcus warneri AW 25	strain			12	hydroxocobalamine	
27840	72758	G001028645 | Staphylococcus capitis subsp. capitis strain LK 499	strain			12	hydroxocobalamine	
27844	145391	G000183685 | Staphylococcus hominis subsp. hominis strain DM 122	strain			12	hydroxocobalamine	
29741	818	G000011065 | Bacteroides thetaiotaomicron ATCC 29741	strain			4	bile acids	
43859	817	G000009925 | Bacteroides fragilis ATCC 43859	strain			393	4DDT, 4DDE, 4DDD, endosulfan, dichlorvos, mirex, chlopyriphos, malathion, malaoxon, methylparathion, monocrotophos, permethrin, cyhalothrin, cypermethrin, deltamethrin, atrazine, azoxystrobin, fipronil	
83333	562	G000008865 | Escherichia coli K12	strain			346	4DDT, 4DDE, 4DDD, endosulfan, dichlorvos, mirex, chlopyriphos, malathion, malaoxon, methylparathion, monocrotophos, permethrin, cyhalothrin, cypermethrin, deltamethrin, atrazine, azoxystrobin, fipronil	
93061	1280	G001233785 | Staphylococcus aureus subsp. aureus NCTC 8325	strain			12	hydroxocobalamine	
103499	144183	G001639025 | Corynebacterium afermentans subsp. afermentans CIP 103499	strain			12	hydroxocobalamine	
171202	1747	G000008345 | Cutibacterium acnes ATCC KPA171202	strain			0		
176280	1282	G000007645 | Staphylococcus epidermidis ATCC 12228	strain			403		
195103	1502	G000013285 | Clostridium perfringens ATCC 13124	strain			398	bile acids	
226185	1351	G000007785 | Enterococcus faecalis V583	strain			4	bile acids	
226186	818	G000011065 | Bacteroides thetaiotaomicron VPI-5482	strain			2	TCA,TCDCA,TDCA,3alpha_12K,TLCA	
246201	28037	G000027165 | Streptococcus mitis NCTC 12261	strain			12	hydroxocobalamine	
272559	817	G000009925 | Bacteroides fragilis NCTC 9343	strain			4	bile acids	
316435	562	G000008865 | Escherichia coli Nissle 1917	strain			4	bile acids	
322159	1308	G000253395 | Streptococcus thermophilus LMD-9	strain			0		
324831	1596	G000014425 | Lactobacillus gasseri ATCC 33323 = JCM 1131	strain			4		
349741	239935	G000020225 | Akkermansia muciniphila ATCC BAA-835	strain			18	bile acids	
