filename,Category
P5_C10_209,Root > Home & Garden > Household Supplies > Household Cleaning Supplies > Dish Washing Liquid
P2_D6_547,Root > Home & Garden > Household Supplies > Household Cleaning Supplies > Dish Washing Liquid
P4_A1_369,Root > Home & Garden > Household Supplies > Household Cleaning Supplies > Dish Washing Liquid
P4_A12_368,Root > Home & Garden > Household Supplies > Household Cleaning Supplies > Laundry Detergent Sheets
P4_D6_408,Root > Personal Care > Cosmetics > Bath & Body > Body Wash
P1_A3_512,Root > Personal Care > Cosmetics > Bath & Body > Body Wash
P2_B2_534,Root > Personal Care > Cosmetics > Bath & Body > Body Wash
P1_G12_125,Root > Personal Care > Cosmetics > Bath & Body > Body Wash
P5_C9_186,Root > Personal Care > Cosmetics > Bath & Body > Body Wash
P6_E1_385,Root > Personal Care > Cosmetics > Bath & Body > Body Wash
P6_A3_285,Root > Personal Care > Cosmetics > Bath & Body > Body Wash
P3_F10_36,Root > Personal Care > Cosmetics > Bath & Body > Body Wash
P4_C11_445,Root > Personal Care > Cosmetics > Bath & Body > Body Wash
P6_C1_284,Root > Personal Care > Cosmetics > Bath & Body > Body Wash
P7_E10_5,Root > Personal Care > Cosmetics > Bath & Body > Body Wash
P1_G10_253,Root > Personal Care > Cosmetics > Bath & Body > Body Wash
P5_D8_253,Root > Personal Care > Cosmetics > Bath & Body > Body Wash
P3_C10_348,Root > Personal Care > Cosmetics > Bath & Body > Body Wash
P4_D3_419,Root > Personal Care > Cosmetics > Bath & Body > Body Wash
P7_F1_667,Root > Personal Care > Cosmetics > Bath & Body > Body Wash
P7_F9_714,Root > Personal Care > Cosmetics > Bath & Body > Body Wash
P2_E12_576,Root > Personal Care > Cosmetics > Bath & Body > Body Wash > Bar Soap
P2_F10_540,Root > Personal Care > Cosmetics > Bath & Body > Body Wash > Bar Soap
P2_D1_579,Root > Personal Care > Cosmetics > Bath & Body > Body Wash > Bar Soap
P4_E5_609,Root > Personal Care > Cosmetics > Bath & Body > Body Wash > Bar Soap
P6_D5_220,Root > Personal Care > Cosmetics > Bath & Body > Body Wash > Feminine hygiene
P4_D7_424,Root > Personal Care > Cosmetics > Bath & Body > Body Wash > Foaming Bath
P5_B11_278,Root > Personal Care > Cosmetics > Bath & Body > Body Wash > Hand Soap
P1_B7_527,Root > Personal Care > Cosmetics > Bath & Body > Body Wash > Hand Soap
P1_G11_127,Root > Personal Care > Cosmetics > Bath & Body > Body Wash > Hand Soap
P1_B8_528,Root > Personal Care > Cosmetics > Bath & Body > Body Wash > Hand Soap
P5_D4_173,Root > Personal Care > Cosmetics > Bath & Body > Body Wash > Hand Soap
P1_A2_511,Root > Personal Care > Cosmetics > Bath & Body > Body Wash > Hand Soap
P2_D5_720,Root > Personal Care > Cosmetics > Bath & Body > Body Wash > Hand Soap
P4_A5_377,Root > Personal Care > Cosmetics > Bath & Body > Body Wash > Hand Soap
P1_E8_482,Root > Personal Care > Cosmetics > Bath & Body > Body Wash > Powdered Hand Soap
P5_D12_38,Root > Personal Care > Cosmetics > Bath & Body > Hand Creme
P3_C6_93,Root > Personal Care > Cosmetics > Bath & Body > Hand Creme
P1_E3_491,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer
P7_A11_207,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer
P1_E6_509,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer
P1_D5_503,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer
P3_C3_82,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer
P1_C6_506,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer
P1_B1_520,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer
P6_D3_249,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer
P3_F8_132,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer
P3_C9_351,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer
P1_E1_504,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer
P5_A3_184,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer
P7_A12_195,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer
P5_D7_33,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer > Eye cream
P1_B4_523,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer > Eye cream
P2_E10_583,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer > Eye cream
P2_C5_692,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer > Eye cream
P2_B9_680,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer > Eye cream
P2_A4_693,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer > Eye cream
P4_B7_689,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer > Eye cream
P7_D8_678,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer > Eye cream
P3_E2_587,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer > Eye cream
P3_C4_70,Root > Personal Care > Cosmetics > Perfume & Cologne
P5_E8_272,Root > Personal Care > Cosmetics > Perfume & Cologne
P6_A5_298,Root > Personal Care > Cosmetics > Perfume & Cologne
P6_A12_289,Root > Personal Care > Cosmetics > Perfume & Cologne
P1_C5_496,Root > Personal Care > Cosmetics > Perfume & Cologne
P1_C2_485,Root > Personal Care > Cosmetics > Perfume & Cologne
P1_C12_497,Root > Personal Care > Cosmetics > Perfume & Cologne
P1_C1_501,Root > Personal Care > Cosmetics > Perfume & Cologne
P1_C3_493,Root > Personal Care > Cosmetics > Perfume & Cologne
P1_F1_51,Root > Personal Care > Cosmetics > Makeup
P1_F5_42,Root > Personal Care > Cosmetics > Makeup
P1_F3_67,Root > Personal Care > Cosmetics > Makeup
P1_F10_214,Root > Personal Care > Cosmetics > Makeup
P4_C5_726,Root > Personal Care > Cosmetics > Makeup > Eye Makeup > Mascara
P1_F12_213,Root > Personal Care > Cosmetics > Makeup > Eye Makeup > Mascara
P1_G8_78,Root > Personal Care > Cosmetics > Makeup > Eye Makeup > Mascara
P4_E6_560,Root > Personal Care > Cosmetics > Makeup > Eye Makeup > Mascara
P4_E3_559,Root > Personal Care > Cosmetics > Makeup > Eye Makeup > Mascara
P4_A10_723,Root > Personal Care > Cosmetics > Makeup > Eye Makeup > Mascara
P4_B2_724,Root > Personal Care > Cosmetics > Makeup > Eye Makeup > Mascara
P2_A5_656,Root > Personal Care > Cosmetics > Makeup > Eye Makeup > Mascara
P1_G7_211,Root > Personal Care > Cosmetics > Makeup > Face Makeup > Foundations & Concealers
P1_F6_102,Root > Personal Care > Cosmetics > Makeup > Face Makeup > Foundations & Concealers
P4_C6_676,Root > Personal Care > Cosmetics > Makeup > Face Makeup > Foundations & Concealers
P2_B8_574,Root > Personal Care > Cosmetics > Makeup > Face Makeup > Foundations & Concealers
P2_B11_599,Root > Personal Care > Cosmetics > Makeup > Face Makeup > Foundations & Concealers
P4_B10_717,Root > Personal Care > Cosmetics > Makeup > Face Makeup > Foundations & Concealers
P2_A3_687,Root > Personal Care > Cosmetics > Makeup > Lip balm
P2_A10_628,Root > Personal Care > Cosmetics > Makeup > Lip balm
P6_D10_404,Root > Personal Care > Cosmetics > Makeup > Lip balm
P4_D11_606,Root > Personal Care > Cosmetics > Makeup > Lip balm
P2_B4_538,Root > Personal Care > Cosmetics > Makeup > Lipgloss
P4_E2_607,Root > Personal Care > Cosmetics > Makeup > Lipgloss
P4_E8_608,Root > Personal Care > Cosmetics > Makeup > Lipgloss
P4_B9_681,Root > Personal Care > Cosmetics > Makeup > Lipstick
P4_A8_659,Root > Personal Care > Cosmetics > Makeup > Lipstick
P2_A8_660,Root > Personal Care > Cosmetics > Makeup > Lipstick
P4_C4_686,Root > Personal Care > Cosmetics > Makeup > Lipstick
