,NCBI
0,
1,1000430
2,1001077
3,100138
4,100145
5,100149
6,100167
7,100169
8,100171
9,1003241
10,1003242
11,1003255
12,1003630
13,100370
14,1003875
15,1003877
16,100495
17,100496
18,100514
19,100532
20,100557
21,1005656
22,100569
23,1006109
24,1006144
25,1007326
26,1007327
27,1007786
28,1007882
29,1008910
30,1008962
31,1009474
32,1009495
33,1009579
34,1009589
35,101013
36,1010633
37,101569
38,1016828
39,101691
40,101709
41,101729
42,102107
43,102210
44,102211
45,102691
46,102693
47,1026989
48,102699
49,1026990
50,1027057
51,1027063
52,1027065
53,1027069
54,1027070
55,1027072
56,1027080
57,1027081
58,1027090
59,1027102
60,1027110
61,1027114
62,1027115
63,1027119
64,1027120
65,1027122
66,1027124
67,1027129
68,1027132
69,1027142
70,1027148
71,1027163
72,1027172
73,1027192
74,1027193
75,1027194
76,1027196
77,1027199
78,1027204
79,1027211
80,1027214
81,1027218
82,1027220
83,102745
84,102770
85,102782
86,102786
87,102804
88,102806
89,102808
90,102809
91,102810
92,102812
93,102814
94,102815
95,102818
96,102819
97,103351
98,103480
99,103537
100,1035550
101,1037062
102,103745
103,103762
104,103767
105,103768
106,1037790
107,103966
108,103991
109,103999
110,1040939
111,1041030
112,1041237
113,104317
114,1043716
115,1045115
116,1045126
117,1045222
118,1045223
119,1046468
120,1046491
121,104773
122,1049784
123,1049785
124,1051490
125,105180
126,105181
127,105182
128,1052008
129,1053340
130,1054458
131,1055845
132,1055859
133,1056460
134,1056462
135,1056470
136,105667
137,105703
138,105748
139,105749
140,105884
141,105886
142,105902
143,105905
144,105906
145,105907
146,106335
147,106616
148,106620
149,106626
150,106642
151,106657
152,106659
153,106660
154,106663
155,106664
156,106672
157,106676
158,106677
159,106678
160,106682
161,106684
162,106685
163,106692
164,106703
165,106704
166,106709
167,106719
168,1068520
169,1068723
170,1068916
171,106975
172,1071044
173,1073848
174,107607
175,1079077
176,1081520
177,1082683
178,108278
179,108335
180,108377
181,108410
182,108411
183,108420
184,108422
185,1084667
186,108546
187,1085467
188,108594
189,1087743
190,1087756
191,1087772
192,1087776
193,108868
194,108881
195,1089395
196,1089629
197,1089630
198,109059
199,109061
200,109063
201,109170
202,109171
203,109218
204,109224
205,1092581
206,1095265
207,1095267
208,1097630
209,109864
210,109975
211,110318
212,110690
213,1110379
214,1110380
215,1110384
216,1110385
217,1110386
218,111103
219,1113480
220,1117039
221,1125008
222,1125161
223,1125163
224,1125164
225,1125165
226,1125386
227,1125401
228,1125920
229,1125924
230,1125925
231,1125926
232,1125929
233,1125931
234,1125939
235,1127048
236,1127383
237,112800
238,112816
239,112818
240,112819
241,112827
242,112828
243,112829
244,112832
245,1128365
246,112863
247,1128766
248,112883
249,1129466
250,1129501
251,1129519
252,1129970
253,1129973
254,1129992
255,113208
256,113248
257,113250
258,1132602
259,1132605
260,1134151
261,1134458
262,1136838
263,1138341
264,1138348
265,1138350
266,1138355
267,1141492
268,1141493
269,1142019
270,1143222
271,114476
272,114815
273,114937
274,115001
275,115002
276,115440
277,115442
278,115465
279,115466
280,115488
281,1155552
282,115666
283,1158817
284,1158923
285,1159231
286,1160622
287,1167200
288,1169444
289,1171751
290,117272
291,1173008
292,1176516
293,117795
294,117798
295,117962
296,1184124
297,1184125
298,118431
299,1186080
300,1186097
301,1186159
302,1186175
303,1186182
304,1186183
305,118777
306,118778
307,118889
308,118891
309,118900
310,119176
311,119177
312,119260
313,119261
314,1193841
315,1195013
316,1195022
317,1195123
318,1196212
