basefilename	cluster_scan	dataset_id	filename	metadata
IFXI27-D3-AV-STWK0.mzML	59821	MSV000088735	f.MSV000088735/ccms_peak/Plate_02/IFXI27-D3-AV-STWK0.mzML	 
IFXI27-D2-AV-STWK0.mzML	59821	MSV000088735	f.MSV000088735/ccms_peak/Plate_02/IFXI27-D2-AV-STWK0.mzML	 
IFXI27-D1-AV-STWK0.mzML	59821	MSV000088735	f.MSV000088735/ccms_peak/Plate_02/IFXI27-D1-AV-STWK0.mzML	 
IFXI25-D1-AV-STWK2.mzML	59821	MSV000088735	f.MSV000088735/ccms_peak/Plate_02/IFXI25-D1-AV-STWK2.mzML	 
IFXI17-D1-AV-STWK2.mzML	59821	MSV000088735	f.MSV000088735/ccms_peak/Plate_01/IFXI17-D1-AV-STWK2.mzML	 
IFXI16-D4-AV-STWK14.mzML	59821	MSV000088735	f.MSV000088735/ccms_peak/Plate_01/IFXI16-D4-AV-STWK14.mzML	 
IFXI07-D3-AV-STWK6.mzML	59821	MSV000088735	f.MSV000088735/ccms_peak/Plate_01/IFXI07-D3-AV-STWK6.mzML	 
IFXI04-D2-AV-STWK2.mzML	59821	MSV000088735	f.MSV000088735/ccms_peak/Plate_01/IFXI04-D2-AV-STWK2.mzML	 
IFXI01-XD-AV-STWK2.mzML	59821	MSV000088735	f.MSV000088735/ccms_peak/Plate_01/IFXI01-XD-AV-STWK2.mzML	 
Fusicatenibacter_saccharivorans_DSM_26062_T72_BileSaltsAdded.mzML	77136	MSV000088570	f.MSV000088570/ccms_peak/In_Vitro_RAW_Data/Plate_D_In_VITRO/Fusicatenibacter_saccharivorans_DSM_26062_T72_BileSaltsAdded.mzML	 
Faecalibacterium_Prausnitzii_ATCC_27768_T72_BileSaltsAdded.mzML	77136	MSV000088570	f.MSV000088570/ccms_peak/In_Vitro_RAW_Data/Plate_D_In_VITRO/Faecalibacterium_Prausnitzii_ATCC_27768_T72_BileSaltsAdded.mzML	 
Enterococcus_faecium_TX1330_T72_BileSaltsAdded.mzML	77136	MSV000088570	f.MSV000088570/ccms_peak/In_Vitro_RAW_Data/Plate_D_In_VITRO/Enterococcus_faecium_TX1330_T72_BileSaltsAdded.mzML	 
Enterococcus_faecalis_V583_T72_BileSaltsAdded.mzML	77136	MSV000088570	f.MSV000088570/ccms_peak/In_Vitro_RAW_Data/Plate_D_In_VITRO/Enterococcus_faecalis_V583_T72_BileSaltsAdded.mzML	 
Enterococcus_faecalis_SF19_T72_BileSaltsAdded.mzML	77136	MSV000088570	f.MSV000088570/ccms_peak/In_Vitro_RAW_Data/Plate_D_In_VITRO/Enterococcus_faecalis_SF19_T72_BileSaltsAdded.mzML	 
Collinsella_aerofaciens_strain_DSM_3979_T72_BileSaltsAdded.mzML	77136	MSV000088570	f.MSV000088570/ccms_peak/In_Vitro_RAW_Data/Plate_D_In_VITRO/Collinsella_aerofaciens_strain_DSM_3979_T72_BileSaltsAdded.mzML	 
Clostridium_perfringes_ATCC13124_T72_BileSaltsAdded.mzML	77136	MSV000088570	f.MSV000088570/ccms_peak/In_Vitro_RAW_Data/Plate_D_In_VITRO/Clostridium_perfringes_ATCC13124_T72_BileSaltsAdded.mzML	 
Bifidobacterium_longum_strain_44_T72_BileSaltsAdded.mzML	77136	MSV000088570	f.MSV000088570/ccms_peak/In_Vitro_RAW_Data/Plate_D_In_VITRO/Bifidobacterium_longum_strain_44_T72_BileSaltsAdded.mzML	 
Bifidobacterium_breve_Strain_EX336960VC19_T72_BileSaltsAdded.mzML	77136	MSV000088570	f.MSV000088570/ccms_peak/In_Vitro_RAW_Data/Plate_D_In_VITRO/Bifidobacterium_breve_Strain_EX336960VC19_T72_BileSaltsAdded.mzML	 
Bifidobacterium_adolescentis_Strain_L2-32_T72_BileSaltsAdded.mzML	77136	MSV000088570	f.MSV000088570/ccms_peak/In_Vitro_RAW_Data/Plate_D_In_VITRO/Bifidobacterium_adolescentis_Strain_L2-32_T72_BileSaltsAdded.mzML	 
Bacteroides_vulgatus_ATCC8482_T72_BileSaltsAdded.mzML	77136	MSV000088570	f.MSV000088570/ccms_peak/In_Vitro_RAW_Data/Plate_D_In_VITRO/Bacteroides_vulgatus_ATCC8482_T72_BileSaltsAdded.mzML	 
Bacteroides_ovatus_ATCC8483_T72_BileSaltsAdded.mzML	77136	MSV000088570	f.MSV000088570/ccms_peak/In_Vitro_RAW_Data/Plate_D_In_VITRO/Bacteroides_ovatus_ATCC8483_T72_BileSaltsAdded.mzML	 
Bacteroides_fragilis_NCTC9343_T72_BileSaltsAdded.mzML	77136	MSV000088570	f.MSV000088570/ccms_peak/In_Vitro_RAW_Data/Plate_D_In_VITRO/Bacteroides_fragilis_NCTC9343_T72_BileSaltsAdded.mzML	 
Bacteroides_dorei_DSM_17855_T72_BileSaltsAdded.mzML	77136	MSV000088570	f.MSV000088570/ccms_peak/In_Vitro_RAW_Data/Plate_D_In_VITRO/Bacteroides_dorei_DSM_17855_T72_BileSaltsAdded.mzML	 
mars00126.mzML	171112	MSV000088137	f.MSV000088137/ccms_peak/U19_Wisconsin_Stool_Plate_01_RAW_Data/mars00126.mzML	 
mars00096.mzML	171112	MSV000088137	f.MSV000088137/ccms_peak/U19_Wisconsin_Stool_Plate_01_RAW_Data/mars00096.mzML	 
mars00066.mzML	171112	MSV000088137	f.MSV000088137/ccms_peak/U19_Wisconsin_Stool_Plate_01_RAW_Data/mars00066.mzML	 
mars00062.mzML	171112	MSV000088137	f.MSV000088137/ccms_peak/U19_Wisconsin_Stool_Plate_02_RAW_Data/mars00062.mzML	 
mars00058.mzML	171112	MSV000088137	f.MSV000088137/ccms_peak/U19_Wisconsin_Stool_Plate_01_RAW_Data/mars00058.mzML	 
mars00055.mzML	171112	MSV000088137	f.MSV000088137/ccms_peak/U19_Wisconsin_Stool_Plate_01_RAW_Data/mars00055.mzML	 
mars00049.mzML	171112	MSV000088137	f.MSV000088137/ccms_peak/U19_Wisconsin_Stool_Plate_01_RAW_Data/mars00049.mzML	 
mars00033.mzML	171112	MSV000088137	f.MSV000088137/ccms_peak/U19_Wisconsin_Stool_Plate_01_RAW_Data/mars00033.mzML	 
mars00028.mzML	171112	MSV000088137	f.MSV000088137/ccms_peak/U19_Wisconsin_Stool_Plate_01_RAW_Data/mars00028.mzML	 
mars00016.mzML	171112	MSV000088137	f.MSV000088137/ccms_peak/U19_Wisconsin_Stool_Plate_02_RAW_Data/mars00016.mzML	 
mars00013.mzML	171112	MSV000088137	f.MSV000088137/ccms_peak/U19_Wisconsin_Stool_Plate_02_RAW_Data/mars00013.mzML	 
donotuse3_12E.mzML	171112	MSV000088137	f.MSV000088137/ccms_peak/U19_Wisconsin_Stool_Plate_03_RAW_Data/donotuse3_12E.mzML	 
donotuse3_12C.mzML	171112	MSV000088137	f.MSV000088137/ccms_peak/U19_Wisconsin_Stool_Plate_03_RAW_Data/donotuse3_12C.mzML	 
2254.mzML	171112	MSV000088137	f.MSV000088137/ccms_peak/U19_Wisconsin_Stool_Plate_02_RAW_Data/2254.mzML	 
2191.mzML	171112	MSV000088137	f.MSV000088137/ccms_peak/U19_Wisconsin_Stool_Plate_03_RAW_Data/2191.mzML	 
2102.mzML	171112	MSV000088137	f.MSV000088137/ccms_peak/U19_Wisconsin_Stool_Plate_03_RAW_Data/2102.mzML	 
2054.mzML	171112	MSV000088137	f.MSV000088137/ccms_peak/U19_Wisconsin_Stool_Plate_04_RAW_Data/2054.mzML	 
2033.mzML	171112	MSV000088137	f.MSV000088137/ccms_peak/U19_Wisconsin_Stool_Plate_03_RAW_Data/2033.mzML	 
5850320.mzML	41739	MSV000088087	f.MSV000088087/ccms_peak/RAW_Data/Plate_01_RAW_Data/5850320.mzML	 
5848163.mzML	41739	MSV000088087	f.MSV000088087/ccms_peak/RAW_Data/Plate_01_RAW_Data/5848163.mzML	 
5842927.mzML	41739	MSV000088087	f.MSV000088087/ccms_peak/RAW_Data/Plate_01_RAW_Data/5842927.mzML	 
5836512.mzML	41739	MSV000088087	f.MSV000088087/ccms_peak/RAW_Data/Plate_01_RAW_Data/5836512.mzML	 
5836306.mzML	41739	MSV000088087	f.MSV000088087/ccms_peak/RAW_Data/Plate_01_RAW_Data/5836306.mzML	 
5835095.mzML	41739	MSV000088087	f.MSV000088087/ccms_peak/RAW_Data/Plate_01_RAW_Data/5835095.mzML	 
5831613.mzML	41739	MSV000088087	f.MSV000088087/ccms_peak/RAW_Data/Plate_01_RAW_Data/5831613.mzML	 
5827083.mzML	41739	MSV000088087	f.MSV000088087/ccms_peak/RAW_Data/Plate_02_RAW_Data/5827083.mzML	 
5827065.mzML	41739	MSV000088087	f.MSV000088087/ccms_peak/RAW_Data/Plate_02_RAW_Data/5827065.mzML	 
5818667.mzML	41739	MSV000088087	f.MSV000088087/ccms_peak/RAW_Data/Plate_01_RAW_Data/5818667.mzML	 
