basefilename	cluster_scan	dataset_id	filename	metadata
Lactobacillus_gasseri_MV-22_T72_BileSaltsAdded.mzML	78122	MSV000088570	f.MSV000088570/ccms_peak/In_Vitro_RAW_Data/Plate_D_In_VITRO/Lactobacillus_gasseri_MV-22_T72_BileSaltsAdded.mzML	 
Fusicatenibacter_saccharivorans_DSM_26062_T72_BileSaltsAdded.mzML	78122	MSV000088570	f.MSV000088570/ccms_peak/In_Vitro_RAW_Data/Plate_D_In_VITRO/Fusicatenibacter_saccharivorans_DSM_26062_T72_BileSaltsAdded.mzML	 
Enterococcus_faecium_TX1330_T72_BileSaltsAdded.mzML	78122	MSV000088570	f.MSV000088570/ccms_peak/In_Vitro_RAW_Data/Plate_D_In_VITRO/Enterococcus_faecium_TX1330_T72_BileSaltsAdded.mzML	 
Enterococcus_faecalis_V583_T72_BileSaltsAdded.mzML	78122	MSV000088570	f.MSV000088570/ccms_peak/In_Vitro_RAW_Data/Plate_D_In_VITRO/Enterococcus_faecalis_V583_T72_BileSaltsAdded.mzML	 
Enterococcus_faecalis_SF19_T72_BileSaltsAdded.mzML	78122	MSV000088570	f.MSV000088570/ccms_peak/In_Vitro_RAW_Data/Plate_D_In_VITRO/Enterococcus_faecalis_SF19_T72_BileSaltsAdded.mzML	 
Clostridium_perfringes_ATCC13124_T72_BileSaltsAdded.mzML	78122	MSV000088570	f.MSV000088570/ccms_peak/In_Vitro_RAW_Data/Plate_D_In_VITRO/Clostridium_perfringes_ATCC13124_T72_BileSaltsAdded.mzML	 
Bifidobacterium_longum_strain_44_T72_BileSaltsAdded.mzML	78122	MSV000088570	f.MSV000088570/ccms_peak/In_Vitro_RAW_Data/Plate_D_In_VITRO/Bifidobacterium_longum_strain_44_T72_BileSaltsAdded.mzML	 
Bifidobacterium_breve_Strain_EX336960VC19_T72_BileSaltsAdded.mzML	78122	MSV000088570	f.MSV000088570/ccms_peak/In_Vitro_RAW_Data/Plate_D_In_VITRO/Bifidobacterium_breve_Strain_EX336960VC19_T72_BileSaltsAdded.mzML	 
Bifidobacterium_adolescentis_Strain_L2-32_T72_BileSaltsAdded.mzML	78122	MSV000088570	f.MSV000088570/ccms_peak/In_Vitro_RAW_Data/Plate_D_In_VITRO/Bifidobacterium_adolescentis_Strain_L2-32_T72_BileSaltsAdded.mzML	 
SPF_SI-5.mzML	165227	MSV000088040	f.MSV000088040/ccms_peak/In_Vivo_RAW_Data/Plate_D_In_Vivo_RAW_Data/SPF_SI-5.mzML	 
SPF_SI-4.mzML	165227	MSV000088040	f.MSV000088040/ccms_peak/In_Vivo_RAW_Data/Plate_D_In_Vivo_RAW_Data/SPF_SI-4.mzML	 
SPF_SI-3.mzML	165227	MSV000088040	f.MSV000088040/ccms_peak/In_Vivo_RAW_Data/Plate_D_In_Vivo_RAW_Data/SPF_SI-3.mzML	 
SPF_SI-2.mzML	165227	MSV000088040	f.MSV000088040/ccms_peak/In_Vivo_RAW_Data/Plate_D_In_Vivo_RAW_Data/SPF_SI-2.mzML	 
SPF_SI-1.mzML	165227	MSV000088040	f.MSV000088040/ccms_peak/In_Vivo_RAW_Data/Plate_D_In_Vivo_RAW_Data/SPF_SI-1.mzML	 
Faecalibacterium_Prausnitzii_ATCC_27768_SI-2.mzML	165227	MSV000088040	f.MSV000088040/ccms_peak/In_Vivo_RAW_Data/Plate_B_In_Vivo_RAW_Data/Faecalibacterium_Prausnitzii_ATCC_27768_SI-2.mzML	 
